mtxname,k,bands,r,genPairs_time,HC_time,Format_Conversion_time,LeSpGEMM_VLength_time,mixed_acc,error
bloweya,96,16,6,73.359,12.019,59.617,151.453,dense clusters: 9259 / 26717 (34.6558%),
cage10,192,64,3,83.702,28.847,50.453,2.94759,dense clusters: 6 / 2048 (0.292969%),
wing_nodal,192,64,3,91.776,59.817,35.867,1.39554,dense clusters: 0 / 1302 (0%),
jan99jac080,224,56,4,229.055,102.638,35.919,1.72544,dense clusters: 1828 / 9874 (18.5133%),
jan99jac080sc,256,64,4,237.02,107.269,35.791,1.7565,dense clusters: 1716 / 9435 (18.1876%),
har_10NN,192,64,3,78.896,34.236,43.243,2.9067,dense clusters: 15 / 2146 (0.698975%),
lhr07,256,64,4,241.284,21.435,17.236,1.0278,dense clusters: 35 / 2725 (1.2844%),
hangGlider_5,224,56,4,120.452,33.559,31.525,143.001,dense clusters: 2107 / 2390 (88.159%),
vt2010,192,64,3,211.711,83.302,45.191,1.2989,dense clusters: 4 / 5611 (0.0712885%),
lhr07c,192,64,3,246.871,32.164,15.692,0.959826,dense clusters: 13 / 1425 (0.912281%),
kmnist_norm_10NN,192,32,6,49.6,4.417,64.686,5.05862,dense clusters: 3 / 9162 (0.0327439%),
c-49,160,32,5,97.64,15.512,43.197,5.60899,dense clusters: 1 / 13547 (0.00738171%),
Fashion_MNIST_norm_10NN,192,64,3,87.915,41.104,45.495,3.8481,dense clusters: 0 / 1693 (0%),
hvdc1,192,64,3,268.789,55.059,20.738,0.877476,dense clusters: 100 / 3384 (2.95508%),
bcsstk24,192,64,3,145.012,34.624,8.492,0.580287,dense clusters: 107 / 314 (34.0764%),
lock3491,160,32,5,70.6,10.325,9.748,0.71013,dense clusters: 243 / 373 (65.1475%),
mark3jac060sc,96,32,3,162.279,52.013,47.142,1.35262,dense clusters: 567 / 8075 (7.02167%),
mark3jac060,96,32,3,159.95,53.038,48.417,1.36108,dense clusters: 567 / 8075 (7.02167%),
lowThrust_4,256,64,4,111.32,32.881,33.968,21.7521,dense clusters: 553 / 2880 (19.2014%),
c-48,128,32,4,108.355,31.29,38.32,6.26509,dense clusters: 1 / 9577 (0.0104417%),
Zhao2,96,16,6,77.403,14.325,67.367,1.17931,dense clusters: 0 / 31415 (0%),
Zhao1,96,16,6,74.33,14.585,67.542,1.1879,dense clusters: 0 / 31415 (0%),
raefsky5,224,56,4,119.571,24.762,11.356,0.361705,dense clusters: 347 / 718 (48.3287%),
Muu,224,56,4,130.965,26.28,17.929,1.08581,dense clusters: 3 / 855 (0.350877%),
SiH4,256,64,4,77.431,14.647,54.391,5.68097,dense clusters: 398 / 2127 (18.7118%),
